epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,4271.51,0.44914,0.32063,0.99465,0.93403,0.95178,0.95655,0.75043,0.90964,0.67953,1.10335,0.000159199,0.000159199,0.000159199
82,4320.29,0.42138,0.30733,0.99755,0.95014,0.94529,0.96377,0.75107,0.91089,0.71036,1.11019,0.000144144,0.000144144,0.000144144
83,4369,0.42199,0.29978,0.9709,0.91351,0.95178,0.94458,0.72916,0.91353,0.74247,1.10619,0.000129768,0.000129768,0.000129768
84,4417.88,0.44351,0.316,0.97558,0.89754,0.94966,0.93504,0.72715,0.9261,0.70049,1.1166,0.000116087,0.000116087,0.000116087
85,4467.11,0.40849,0.29584,0.97027,0.90986,0.95178,0.93684,0.73041,0.91959,0.73039,1.11041,0.000103114,0.000103114,0.000103114
86,4515.86,0.41469,0.29485,0.97055,0.9217,0.95178,0.95278,0.73532,0.91654,0.74138,1.11765,9.08618e-05,9.08618e-05,9.08618e-05
87,4564.63,0.40742,0.29657,0.97063,0.91411,0.95178,0.94947,0.73694,0.91311,0.72181,1.11704,7.93425e-05,7.93425e-05,7.93425e-05
88,4656.42,0.4351,0.30564,0.96772,0.89693,0.94831,0.93263,0.72643,0.90984,0.71333,1.10638,6.85675e-05,6.85675e-05,6.85675e-05
89,4749.17,0.43349,0.30181,0.97635,0.90015,0.95178,0.93221,0.72784,0.91505,0.69967,1.11126,5.85474e-05,5.85474e-05,5.85474e-05
90,4838.3,0.4191,0.29632,0.96573,0.90135,0.94853,0.93172,0.72577,0.91085,0.70003,1.10672,4.92921e-05,4.92921e-05,4.92921e-05
91,4931.64,0.54887,0.25379,0.82287,0.92434,0.95178,0.94243,0.73915,0.90567,0.60162,1.09785,4.08107e-05,4.08107e-05,4.08107e-05
92,4997.8,0.5602,0.24778,0.81483,0.92234,0.95178,0.94568,0.74336,0.90041,0.58428,1.09578,3.31116e-05,3.31116e-05,3.31116e-05
93,5047.16,0.53599,0.24054,0.81923,0.92104,0.95178,0.94624,0.74404,0.90504,0.57892,1.0973,2.62023e-05,2.62023e-05,2.62023e-05
94,5096.06,0.57449,0.24909,0.8054,0.92108,0.95178,0.94522,0.74649,0.9044,0.57482,1.09441,2.00898e-05,2.00898e-05,2.00898e-05
95,5144.46,0.56274,0.24339,0.78749,0.91596,0.95178,0.9477,0.74896,0.90873,0.56587,1.09594,1.47801e-05,1.47801e-05,1.47801e-05
96,5247.29,0.55891,0.24592,0.80788,0.92114,0.95178,0.94942,0.74945,0.90961,0.55895,1.09664,1.02783e-05,1.02783e-05,1.02783e-05
97,5353.08,0.58282,0.24597,0.79485,0.92764,0.9456,0.95206,0.75208,0.90641,0.54825,1.09431,6.589e-06,6.589e-06,6.589e-06
98,5455.14,0.56032,0.23924,0.82458,0.92693,0.95178,0.95066,0.75177,0.90751,0.54933,1.09552,3.71574e-06,3.71574e-06,3.71574e-06
99,5561.02,0.56533,0.24144,0.8095,0.92666,0.95178,0.95178,0.75168,0.90757,0.54535,1.09505,1.66138e-06,1.66138e-06,1.66138e-06
100,5666.91,0.56707,0.24526,0.80688,0.92128,0.95178,0.94945,0.74966,0.90702,0.55315,1.0951,4.27948e-07,4.27948e-07,4.27948e-07
